"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
25,"EBMF= GB+pt Laplace",7,7,7,0.108431036077898,-331677.198913729,NA,1.25149089686062,1.14305986078272,0.913358509958084
25,"cEBMF= cGB + pt Normal",10,10,10,0.0782479581430243,NA,NA,1.25149089686062,1.1732429387176,0.937476206707288
25,"PCA (oracle)",3,3,3,0.171698933461956,NA,NA,1.25149089686062,1.07979196339867,0.862804488716087
25,"ICA (oracle)",3,3,3,0.171698933461956,NA,NA,1.25149089686062,1.07979196339867,0.862804488716087
25,"SoftImpute (oracle)",3,3,3,0.170849180080249,NA,1,1.25149089686062,1.08064171678037,0.863483481574795
26,"No denoising (Z)",NA,NA,NA,1.24904790917143,NA,NA,1.24904790917143,0,0
26,"EBMF= GB+pt Laplace",7,7,7,0.112520259586121,-331239.6356899,NA,1.24904790917143,1.13652764958531,0.909915177184226
26,"cEBMF= cGB + pt Normal",10,10,10,0.0766546187021785,NA,NA,1.24904790917143,1.17239329046925,0.938629560852451
26,"PCA (oracle)",3,3,3,0.175933203242887,NA,NA,1.24904790917143,1.07311470592854,0.859146152880881
26,"ICA (oracle)",3,3,3,0.175933203242887,NA,NA,1.24904790917143,1.07311470592854,0.859146152880881
26,"SoftImpute (oracle)",3,3,3,0.175059129139674,NA,1,1.24904790917143,1.07398878003175,0.859845945176113
27,"No denoising (Z)",NA,NA,NA,1.24969238246669,NA,NA,1.24969238246669,0,0
27,"EBMF= GB+pt Laplace",7,7,7,0.102667387398608,-331336.542254946,NA,1.24969238246669,1.14702499506809,0.917845872441057
27,"cEBMF= cGB + pt Normal",10,10,10,0.0746635703554556,NA,NA,1.24969238246669,1.17502881211124,0.940254440690371
27,"PCA (oracle)",3,3,3,0.173360267586281,NA,NA,1.24969238246669,1.07633211488041,0.861277647188586
27,"ICA (oracle)",3,3,3,0.173360267586282,NA,NA,1.24969238246669,1.07633211488041,0.861277647188586
27,"SoftImpute (oracle)",3,3,3,0.172486140912371,NA,1,1.24969238246669,1.07720624155432,0.861977120663958
28,"No denoising (Z)",NA,NA,NA,1.24787705465753,NA,NA,1.24787705465753,0,0
28,"EBMF= GB+pt Laplace",6,6,6,0.103777170725745,-331386.853563151,NA,1.24787705465753,1.14409988393179,0.916837023055749
28,"cEBMF= cGB + pt Normal",10,10,10,0.0807424109478193,NA,NA,1.24787705465753,1.16713464370971,0.935296181104974
28,"PCA (oracle)",3,3,3,0.172541517330406,NA,NA,1.24787705465753,1.07533553732713,0.86173195773861
28,"ICA (oracle)",3,3,3,0.172541517330406,NA,NA,1.24787705465753,1.07533553732713,0.86173195773861
28,"SoftImpute (oracle)",3,3,3,0.171824835791587,NA,1,1.24787705465753,1.07605221886595,0.862306278370714
29,"No denoising (Z)",NA,NA,NA,1.25075121066184,NA,NA,1.25075121066184,0,0
29,"EBMF= GB+pt Laplace",6,6,6,0.10663459800157,-331847.995863142,NA,1.25075121066184,1.14411661266027,0.914743558037299
29,"cEBMF= cGB + pt Normal",10,10,10,0.0778913482473842,NA,NA,1.25075121066184,1.17285986241446,0.937724347109632
29,"PCA (oracle)",3,3,3,0.173763816029036,NA,NA,1.25075121066184,1.07698739463281,0.861072438269248
29,"ICA (oracle)",3,3,3,0.173763816029036,NA,NA,1.25075121066184,1.07698739463281,0.861072438269248
29,"SoftImpute (oracle)",3,3,3,0.173073913938461,NA,1,1.25075121066184,1.07767729672338,0.861624028453366
